Restaurant_ID,Item_ID,Calories,Cal_Fat,Total_Fat,Sat_Fat,Trans_Fat,Cholesterol,Sodium,Total_Carb,Fiber,Sugar,Protein,Vit_A,Vit_C,Calcium,Meal_Type
1,1,380,60,7,2,0,95,1110,44,3,11,37,4,20,20,Lunch/Dinner
1,2,840,410,45,17,1.5,130,1580,62,2,18,46,6,20,20,Lunch/Dinner
1,3,1130,600,67,27,3,220,1920,63,3,18,70,10,20,50,Lunch/Dinner
1,4,750,280,31,10,0.5,155,1940,62,2,18,55,6,25,20,Lunch/Dinner
1,5,920,410,45,12,0.5,120,1980,81,4,18,46,6,20,20,Lunch/Dinner
1,6,540,250,28,10,1,80,950,46,3,9,25,10,2,15,Lunch/Dinner
1,7,300,100,12,5,0.5,40,680,33,2,7,15,10,2,10,Lunch/Dinner
1,8,510,210,24,4,0,65,1040,49,3,6,25,0,4,2,Lunch/Dinner
1,9,430,190,21,11,1,85,1040,35,2,7,25,20,4,15,Lunch/Dinner
1,10,770,400,45,21,2.5,175,1290,42,3,10,51,20,6,20,Lunch/Dinner
1,11,380,170,18,4,0,40,640,38,2,5,15,2,0,15,Lunch/Dinner
1,12,620,300,34,13,1.5,95,790,48,3,11,32,10,10,35,Lunch/Dinner
1,13,530,180,20,7,0,125,1150,48,3,11,42,10,20,35,Lunch/Dinner
1,14,700,300,34,9,0,85,1190,67,5,11,33,10,15,35,Lunch/Dinner
1,15,250,70,8,3,0,30,480,31,2,6,13,2,2,4,Lunch/Dinner
1,16,290,50,5,1.5,0,65,630,35,2,3,24,4,6,15,Lunch/Dinner
1,17,640,330,36,14,1.5,110,1260,40,3,10,37,6,15,15,Lunch/Dinner
1,18,580,190,21,8,0,135,1890,50,3,14,48,4,30,30,Lunch/Dinner
1,19,740,310,35,9,0.5,95,1780,69,5,14,39,4,20,290,Lunch/Dinner
1,20,350,130,15,3.5,0,40,600,40,2,5,15,2,2,4,Lunch/Dinner
1,21,380,160,18,8,1,70,840,34,2,7,23,10,2,10,Lunch/Dinner
1,22,480,200,22,7,0,80,870,45,2,12,25,2,2,6,Lunch/Dinner
1,23,580,300,33,12,1.5,95,920,41,4,7,29,8,15,15,Lunch/Dinner
1,24,520,160,18,6,0,115,1540,50,4,12,40,8,25,30,Lunch/Dinner
1,25,680,280,32,7,0,80,1430,69,6,12,31,8,15,30,Lunch/Dinner
1,26,570,200,23,5,0,60,1050,64,4,11,28,4,10,20,Lunch/Dinner
1,27,530,200,22,4,0,45,1000,59,3,13,25,6,10,20,Lunch/Dinner
1,28,530,240,27,13,1.5,100,1090,41,3,10,31,20,6,15,Lunch/Dinner
